IdFuente,TipoFuente,FechaCarga
F00001,API,2025-09-21
F00002,Archivo,2025-04-12
F00003,Archivo,2025-04-05
F00004,Archivo,2025-08-12
F00005,API,2024-10-14
F00006,Archivo,2025-02-15
F00007,BaseDatos,2025-01-11
F00008,API,2025-07-27
F00009,API,2025-08-27
F00010,Archivo,2025-08-14
F00011,API,2025-02-10
F00012,Web,2024-07-27
F00013,Web,2024-08-02
F00014,Manual,2024-03-25
F00015,API,2023-11-20
F00016,Manual,2024-09-27
F00017,BaseDatos,2024-05-31
F00018,API,2024-06-19
F00019,API,2024-03-20
F00020,Web,2024-03-03
F00021,Web,2024-08-20
F00022,Archivo,2024-07-20
F00023,Archivo,2025-04-08
F00024,Manual,2024-10-13
F00025,Manual,2024-01-08
F00026,API,2024-02-08
F00027,BaseDatos,2024-11-06
F00028,BaseDatos,2024-01-13
F00029,BaseDatos,2024-11-11
F00030,Archivo,2024-03-24
F00031,BaseDatos,2025-05-07
F00032,API,2024-04-27
F00033,BaseDatos,2024-05-18
F00034,Archivo,2024-11-23
F00035,Manual,2024-03-08
F00036,API,2025-04-11
F00037,BaseDatos,2025-09-07
F00038,BaseDatos,2024-06-15
F00039,Archivo,2023-10-15
F00040,Archivo,2025-06-02
F00041,API,2023-11-16
F00042,Manual,2023-09-25
F00043,BaseDatos,2024-05-19
F00044,API,2025-07-28
F00045,Archivo,2024-07-25
F00046,Archivo,2024-01-23
F00047,BaseDatos,2024-03-19
F00048,BaseDatos,2023-11-12
F00049,BaseDatos,2025-01-14
F00050,Archivo,2024-01-20
F00051,Manual,2025-08-11
F00052,BaseDatos,2024-05-06
F00053,Archivo,2025-01-18
F00054,Archivo,2024-07-29
F00055,Manual,2024-11-04
F00056,Manual,2023-10-31
F00057,API,2025-01-17
F00058,Web,2025-07-04
F00059,Manual,2024-07-14
F00060,Manual,2025-06-25
F00061,API,2025-09-17
F00062,API,2024-01-08
F00063,API,2024-06-25
F00064,Manual,2025-07-20
F00065,API,2024-08-25
F00066,BaseDatos,2024-09-08
F00067,API,2025-08-01
F00068,Manual,2024-08-29
F00069,Web,2023-11-20
F00070,BaseDatos,2024-09-16
F00071,Archivo,2024-10-23
F00072,API,2023-10-19
F00073,BaseDatos,2024-10-07
F00074,Manual,2023-09-29
F00075,API,2024-02-22
F00076,API,2025-04-08
F00077,Archivo,2024-08-01
F00078,Web,2025-02-07
F00079,Web,2025-02-02
F00080,Web,2025-06-14
F00081,BaseDatos,2025-03-20
F00082,BaseDatos,2025-06-02
F00083,Archivo,2024-06-24
F00084,Archivo,2024-06-20
F00085,API,2025-02-20
F00086,API,2023-09-27
F00087,Archivo,2025-05-30
F00088,Archivo,2024-06-08
F00089,Web,2024-08-24
F00090,Manual,2024-01-15
F00091,Archivo,2024-02-16
F00092,Archivo,2025-09-12
F00093,Manual,2024-01-31
F00094,API,2024-04-25
F00095,API,2024-12-17
F00096,BaseDatos,2025-09-01
F00097,Manual,2024-05-11
F00098,Manual,2024-10-19
F00099,BaseDatos,2024-06-27
F00100,BaseDatos,2024-10-19
F00101,Manual,2025-01-07
F00102,BaseDatos,2023-11-20
F00103,Web,2025-01-13
F00104,Manual,2025-02-16
F00105,Web,2024-07-12
F00106,Archivo,2024-11-09
F00107,Manual,2024-10-03
F00108,Web,2024-12-13
F00109,BaseDatos,2024-06-28
F00110,BaseDatos,2024-05-29
F00111,Web,2024-12-12
F00112,API,2025-02-21
F00113,Manual,2025-02-13
F00114,Archivo,2025-04-16
F00115,API,2024-06-18
F00116,Manual,2023-09-26
F00117,Manual,2024-11-04
F00118,Archivo,2024-11-12
F00119,Web,2025-05-27
F00120,Web,2025-08-24
F00121,API,2025-04-21
F00122,BaseDatos,2023-10-26
F00123,API,2025-02-20
F00124,Archivo,2024-09-01
F00125,Archivo,2024-12-20
F00126,Manual,2025-04-15
F00127,Web,2024-01-24
F00128,Web,2025-03-17
F00129,API,2025-04-01
F00130,Manual,2023-10-17
F00131,API,2024-06-09
F00132,Archivo,2024-05-04
F00133,Web,2025-03-15
F00134,API,2024-06-14
F00135,BaseDatos,2025-01-10
F00136,Manual,2023-11-02
F00137,Web,2025-01-01
F00138,Archivo,2024-10-04
F00139,Manual,2024-03-01
F00140,API,2024-06-25
F00141,Archivo,2024-06-09
F00142,BaseDatos,2024-04-04
F00143,Web,2024-10-03
F00144,API,2025-05-12
F00145,API,2024-02-16
F00146,BaseDatos,2024-08-14
F00147,Manual,2024-11-05
F00148,Web,2024-01-27
F00149,Manual,2024-02-09
F00150,Archivo,2024-02-23
F00151,Archivo,2023-11-03
F00152,Web,2024-08-02
F00153,Archivo,2025-07-12
F00154,BaseDatos,2023-12-02
F00155,API,2024-07-17
F00156,API,2025-08-05
F00157,Archivo,2024-12-07
F00158,Web,2023-12-28
F00159,Web,2025-07-01
F00160,Manual,2025-05-27
F00161,Web,2024-09-04
F00162,Web,2025-07-26
F00163,API,2025-08-27
F00164,Manual,2025-08-01
F00165,Archivo,2025-01-26
F00166,Archivo,2025-06-21
F00167,Web,2025-01-13
F00168,API,2024-05-09
F00169,Web,2025-06-21
F00170,Web,2024-08-12
F00171,API,2025-02-19
F00172,Manual,2025-03-06
F00173,API,2025-04-29
F00174,Web,2025-05-12
F00175,Archivo,2025-02-28
F00176,Web,2025-03-23
F00177,BaseDatos,2024-07-01
F00178,BaseDatos,2024-01-28
F00179,BaseDatos,2024-11-10
F00180,Web,2024-05-01
F00181,Archivo,2024-06-29
F00182,API,2024-11-10
F00183,Archivo,2024-10-19
F00184,API,2024-05-29
F00185,Web,2024-07-02
F00186,Manual,2025-01-06
F00187,Archivo,2024-09-30
F00188,API,2023-10-01
F00189,Manual,2025-01-12
F00190,BaseDatos,2023-12-05
F00191,API,2024-01-27
F00192,Archivo,2024-05-31
F00193,API,2023-10-09
F00194,Web,2025-04-16
F00195,BaseDatos,2025-04-11
F00196,Archivo,2024-11-05
F00197,API,2025-05-13
F00198,BaseDatos,2024-04-26
F00199,BaseDatos,2023-11-26
F00200,Archivo,2025-09-17
F00201,API,2024-03-05
F00202,Manual,2023-10-02
F00203,Manual,2024-03-09
F00204,Web,2024-10-08
F00205,Archivo,2025-08-20
F00206,Archivo,2024-04-22
F00207,Archivo,2024-01-24
F00208,API,2023-11-14
F00209,Manual,2025-09-15
F00210,BaseDatos,2024-06-03
F00211,Web,2024-03-01
F00212,Web,2025-09-07
F00213,Archivo,2024-12-13
F00214,API,2025-02-08
F00215,Web,2024-10-27
F00216,BaseDatos,2024-04-06
F00217,API,2025-08-05
F00218,BaseDatos,2025-02-01
F00219,Manual,2024-06-10
F00220,Archivo,2024-09-02
F00221,API,2025-09-03
F00222,BaseDatos,2023-11-09
F00223,BaseDatos,2024-06-04
F00224,Manual,2025-06-06
F00225,Archivo,2024-05-26
F00226,Manual,2024-07-19
F00227,Web,2024-07-24
F00228,Manual,2025-02-24
F00229,Archivo,2025-04-02
F00230,Web,2025-03-06
F00231,API,2024-01-12
F00232,Manual,2023-10-29
F00233,Web,2024-12-27
F00234,Web,2024-08-21
F00235,BaseDatos,2024-12-29
F00236,Manual,2024-05-25
F00237,Archivo,2025-09-18
F00238,API,2024-08-13
F00239,Archivo,2023-10-20
F00240,Manual,2024-12-14
F00241,Web,2024-02-16
F00242,Web,2025-07-08
F00243,BaseDatos,2025-02-15
F00244,API,2024-03-30
F00245,Web,2024-02-05
F00246,BaseDatos,2025-04-06
F00247,Archivo,2024-03-22
F00248,Web,2025-08-16
F00249,Manual,2023-12-06
F00250,BaseDatos,2024-08-13
F00251,Web,2024-05-01
F00252,Web,2024-08-28
F00253,API,2023-10-12
F00254,BaseDatos,2024-11-12
F00255,Web,2024-12-09
F00256,Archivo,2024-09-14
F00257,Web,2025-05-31
F00258,Manual,2024-09-27
F00259,Manual,2025-01-13
F00260,Web,2024-06-18
F00261,API,2023-11-30
F00262,Manual,2023-12-06
F00263,BaseDatos,2025-05-25
F00264,Manual,2024-07-19
F00265,API,2024-10-14
F00266,Archivo,2024-08-23
F00267,API,2024-11-27
F00268,BaseDatos,2024-01-02
F00269,BaseDatos,2024-07-15
F00270,Archivo,2025-01-23
F00271,BaseDatos,2024-09-19
F00272,API,2024-09-09
F00273,BaseDatos,2024-09-09
F00274,Manual,2025-04-27
F00275,BaseDatos,2025-03-05
F00276,Archivo,2024-08-18
F00277,Manual,2024-12-22
F00278,Manual,2024-10-09
F00279,Manual,2024-12-03
F00280,Manual,2025-03-06
F00281,Archivo,2025-01-08
F00282,Archivo,2025-06-07
F00283,API,2024-08-06
F00284,Manual,2023-09-25
F00285,Web,2023-11-07
F00286,Archivo,2024-07-25
F00287,Web,2024-07-18
