IdProducto,Nombre,Categoría
1,Producto_1,Deportes
2,Producto_2,Deportes
3,Producto_3,Juguetes
4,Producto_4,Juguetes
5,Producto_5,Deportes
6,Producto_6,Ropa
7,Producto_7,Hogar
8,Producto_8,Deportes
9,Producto_9,Ropa
10,Producto_10,Ropa
11,Producto_11,Ropa
12,Producto_12,Libros
13,Producto_13,Deportes
14,Producto_14,Deportes
15,Producto_15,Juguetes
16,Producto_16,Deportes
17,Producto_17,Hogar
18,Producto_18,Libros
19,Producto_19,Hogar
20,Producto_20,Libros
21,Producto_21,Libros
22,Producto_22,Libros
23,Producto_23,Libros
24,Producto_24,Hogar
25,Producto_25,Electrónica
26,Producto_26,Deportes
27,Producto_27,Juguetes
28,Producto_28,Deportes
29,Producto_29,Libros
30,Producto_30,Libros
31,Producto_31,Deportes
32,Producto_32,Electrónica
33,Producto_33,Deportes
34,Producto_34,Ropa
35,Producto_35,Ropa
36,Producto_36,Deportes
37,Producto_37,Ropa
38,Producto_38,Hogar
39,Producto_39,Hogar
40,Producto_40,Electrónica
41,Producto_41,Electrónica
42,Producto_42,Ropa
43,Producto_43,Hogar
44,Producto_44,Juguetes
45,Producto_45,Deportes
46,Producto_46,Electrónica
47,Producto_47,Libros
48,Producto_48,Electrónica
49,Producto_49,Deportes
50,Producto_50,Electrónica
51,Producto_51,Ropa
52,Producto_52,Electrónica
53,Producto_53,Hogar
54,Producto_54,Libros
55,Producto_55,Ropa
56,Producto_56,Deportes
57,Producto_57,Electrónica
58,Producto_58,Deportes
59,Producto_59,Juguetes
60,Producto_60,Deportes
61,Producto_61,Hogar
62,Producto_62,Electrónica
63,Producto_63,Deportes
64,Producto_64,Hogar
65,Producto_65,Deportes
66,Producto_66,Electrónica
67,Producto_67,Hogar
68,Producto_68,Libros
69,Producto_69,Hogar
70,Producto_70,Electrónica
71,Producto_71,Juguetes
72,Producto_72,Electrónica
73,Producto_73,Deportes
74,Producto_74,Juguetes
75,Producto_75,Deportes
76,Producto_76,Deportes
77,Producto_77,Deportes
78,Producto_78,Hogar
79,Producto_79,Ropa
80,Producto_80,Electrónica
81,Producto_81,Deportes
82,Producto_82,Ropa
83,Producto_83,Ropa
84,Producto_84,Juguetes
85,Producto_85,Deportes
86,Producto_86,Deportes
87,Producto_87,Deportes
88,Producto_88,Ropa
